"id","diver1_videoer","diver2","date","site","latitude","longitude","stratum","site_selection","visibility_ft","time","tidal_ht_ft","transect","transect_id","distance_m","swath_m","heading","depth_start_ft","depth_end_ft","depth_ft","depth_m","kelp_video","benthic_video","comment1","comment2","transect_id_pasted","swath_area_kelp","macro_individuals","macro_stipes","macro_recruits (<1m)","nereocystis_lue","swath_area_star","swath_area_patiria","patiria_min","dermasterias_imb","henricia_spp","mediaster_aeq","pycnopodia_hel","pisaster_gig","pisaster_spp","pisaster_bre","orthasterias_koe","leptasterias_hex","notes","KelpStatus","Region"
1,"Elahi","Andrzejaczek","2021-06-24","hms150",36.621717,-121.901817,"cabr","targeted",15,"0.37222222222222223",1.4,"1.0","hms150_2021-06-24_t1",30,"1.0",0,30,"27.0",27.1,8.259676928,"hms150_2021-06-24_t1_k","hms150_2021-06-24_t1_b","lat-long from 160m was used","kelp video was PARA0002; benthic video was PARA0003","hms150_2021-06-24_t1","30",10,"219.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
2,"Elahi","Andrzejaczek","2021-06-24","hms150",36.621717,-121.901817,"cabr","targeted",15,"0.4305555555555556",3.2,"2.0","hms150_2021-06-24_t2",30,"1.0",180,27,"18.0",19.3,5.882352941,"hms150_2021-06-24_t2_k","hms150_2021-06-24_t2_b","lat-long from 160m was used","kelp video was GX010246; benthic video was GX010247","hms150_2021-06-24_t2","30",6,"143.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
3,"Elahi","Goodman","2022-02-07","hms100",36.621142,-121.901658,"cabr","targeted",30,"0.4027777777777778",1.5,"1.0","hms100_2022-02-07_t1",30,"1.0",0,26,"31.0",27,8.229198415,"hms100_2022-02-07_t1_k","NA","video should be rotated prior to data collection (do not need to save the rotated video)","kelp video was GX010325; benthic video was NA","hms100_2022-02-07_t1","30",9,"127.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
4,"Elahi","Goodman","2022-02-07","hms100",36.621142,-121.901658,"cabr","targeted",30,"0.4027777777777778",1.5,"2.0","hms100_2022-02-07_t2",30,"1.0",270,26,"25.0",24,7.314843036,"hms100_2022-02-07_t2_k","hms100_2022-02-07_t2_b","video should be rotated prior to data collection (do not need to save the rotated video)","kelp video was GX010329; benthic video was GX010330","hms100_2022-02-07_t2","30",5,"30.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
5,"Elahi","Goodman","2022-02-07","hms100",36.621142,-121.901658,"cabr","targeted",30,"0.4027777777777778",1.5,"3.0","hms100_2022-02-07_t3",30,"1.0",180,26,"30.0",26.5,8.076805852,"hms100_2022-02-07_t3_k","NA","video should be rotated prior to data collection (do not need to save the rotated video)","kelp video was GX010331; benthic video was NA","hms100_2022-02-07_t3","30",6,"110.0","NA","0.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
6,"Elahi","Andrzejaczek","2022-02-14","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.4027777777777778",5.3,"1.0","hms100_2022-02-14_t1",10,"2.0",0,32,"35.0",28.2,8.594940567,"NA","hms100_2022-02-14_t1_b",NA,"kelp video was NA; benthic video was GX010344","hms100_2022-02-14_t1","20",5,"100.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
7,"Elahi","Andrzejaczek","2022-02-14","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.4027777777777778",5.3,"2.0","hms100_2022-02-14_t2",10,"2.0",90,31,"33.0",26.7,8.137762877,"NA","hms100_2022-02-14_t2_b",NA,"kelp video was NA; benthic video was GX010345","hms100_2022-02-14_t2","20",3,"4.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
8,"Elahi","Andrzejaczek","2022-02-14","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.4027777777777778",5.3,"3.0","hms100_2022-02-14_t3",10,"2.0",180,30,"35.0",27.2,8.29015544,"NA","hms100_2022-02-14_t3_b",NA,"kelp video was NA; benthic video was GX010347","hms100_2022-02-14_t3","20",6,"39.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
9,"Elahi","Andrzejaczek","2022-02-14","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.4027777777777778",5.3,"4.0","hms100_2022-02-14_t4",10,"2.0",270,30,"30.0",24.7,7.528192624,"NA","hms100_2022-02-14_t4_b",NA,"kelp video was NA; benthic video was GX010348","hms100_2022-02-14_t4","20",9,"79.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","NA","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
10,"Elahi","Schnurle","2022-03-01","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.3784722222222222",6.1,"1.0","hms100_2022-03-01_t1",10,"2.0",0,30,"29.0",23.4,7.13197196,"hms100_2022-03-01_t1_k","hms100_2022-03-01_t1_b",NA,"kelp video was PARA0001; benthic video was GX010425","hms100_2022-03-01_t1","20",7,"90.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","2.0","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
11,"Elahi","Schnurle","2022-03-01","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.3784722222222222",6.1,"2.0","hms100_2022-03-01_t2",10,"2.0",90,30,"30.0",23.9,7.284364523,"hms100_2022-03-01_t2_k","hms100_2022-03-01_t2_b",NA,"kelp video was PARA0002; benthic video was GX010426","hms100_2022-03-01_t2","20",1,"28.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
12,"Elahi","Schnurle","2022-03-01","hms100",36.621142,-121.901658,"cabr","targeted",20,"0.3784722222222222",6.1,"3.0","hms100_2022-03-01_t3",10,"2.0",180,30,"33.0",25.4,7.741542213,"hms100_2022-03-01_t3_k","hms100_2022-03-01_t3_b",NA,"kelp video was PARA0004; benthic video was GX010427","hms100_2022-03-01_t3","20",8,"77.0","NA","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","NA","NA","NA","NA",NA,"Kelp Present","Cabrillo Point"
