transect_id,video_recorder,project,video_stipe_count,video_individuals_count,id,diver1_videoer,diver2,date,site,latitude,longitude,stratum,site_selection,visibility_ft,time,tidal_ht_ft,transect,distance_m,swath_m,heading,depth_start_ft,depth_end_ft,depth_ft,depth_m,kelp_video,benthic_video,comment1,comment2,transect_id_pasted,swath_area_kelp,macro_individuals,macro_stipes,macro_recruits...1m.,nereocystis_lue,swath_area_star,swath_area_patiria,patiria_min,dermasterias_imb,henricia_spp,mediaster_aeq,pycnopodia_hel,pisaster_gig,pisaster_spp,pisaster_bre,orthasterias_koe,leptasterias_hex,notes
ottrpt_2022-07-18_t3,Maya Green,DIMES,0,0,39,Hodder,Taradash,7/18/22,ottrpt,36.63454,-121.92063,ottr,targeted,15,0.39652777777777776,0,3,30,2,300,31,28,29.5,8.991161231,ottrpt_2022-07-18_t3_k,ottrpt_2022-07-18_t3_b,NA,NA,ottrpt_2022-07-18_t3,60,0,0,NA,0,60,60,27,0,0,0,0,0,0,0,0,0,NA
ottrpt_2022-07-18_t3,Gwendolyn Donahue,DIMES,0,0,39,Hodder,Taradash,7/18/22,ottrpt,36.63454,-121.92063,ottr,targeted,15,0.39652777777777776,0,3,30,2,300,31,28,29.5,8.991161231,ottrpt_2022-07-18_t3_k,ottrpt_2022-07-18_t3_b,NA,NA,ottrpt_2022-07-18_t3,60,0,0,NA,0,60,60,27,0,0,0,0,0,0,0,0,0,NA
ottrpt_2022-07-18_t2,Maya Green,DIMES,0,0,38,Donald,Persad,7/18/22,ottrpt,36.63454,-121.92063,ottr,targeted,15,0.39652777777777776,0,2,30,2,300,25,NA,25,7.619628162,ottrpt_2022-07-18_t2_k,ottrpt_2022-07-18_t2_b,NA,NA,ottrpt_2022-07-18_t2,60,0,0,NA,0,60,60,49,0,1,0,0,0,0,0,0,1,NA
ottrpt_2022-07-18_t2,Gwendolyn Donahue,DIMES,0,0,38,Donald,Persad,7/18/22,ottrpt,36.63454,-121.92063,ottr,targeted,15,0.39652777777777776,0,2,30,2,300,25,NA,25,7.619628162,ottrpt_2022-07-18_t2_k,ottrpt_2022-07-18_t2_b,NA,NA,ottrpt_2022-07-18_t2,60,0,0,NA,0,60,60,49,0,1,0,0,0,0,0,0,1,NA
ottrpt_2022-07-18_t1,Maya Green,DIMES,0,0,37,Elahi,Schnurle,7/18/22,ottrpt,36.63454,-121.92063,ottr,targeted,15,0.39652777777777776,0,1,30,2,300,33,32,32.5,9.905516611,ottrpt_2022-07-18_t1_k,ottrpt_2022-07-18_t1_b,NA,NA,ottrpt_2022-07-18_t1,60,0,0,NA,0,60,60,50,0,1,0,0,0,0,0,0,0,NA
ottrpt_2022-07-18_t1,Gwendolyn Donahue,DIMES,0,0,37,Elahi,Schnurle,7/18/22,ottrpt,36.63454,-121.92063,ottr,targeted,15,0.39652777777777776,0,1,30,2,300,33,32,32.5,9.905516611,ottrpt_2022-07-18_t1_k,ottrpt_2022-07-18_t1_b,NA,NA,ottrpt_2022-07-18_t1,60,0,0,NA,0,60,60,50,0,1,0,0,0,0,0,0,0,NA
mont71_2022-07-11_t1,Maya Green,DIMES,0,0,30,Hodder,Persad,7/11/22,mont71,36.62495,-121.912748,mont,random,25,0.46458333333333335,3.5,1,30,2,300,27,32,26,7.924413289,mont71_2022-07-11_t1_k,mont71_2022-07-11_t1_b,NA,NA,mont71_2022-07-11_t1,60,0,0,NA,0,60,60,40,1,0,0,0,1,0,0,0,0,NA
mont71_2022-07-11_t1,Gwendolyn Donahue,DIMES,0,0,30,Hodder,Persad,7/11/22,mont71,36.62495,-121.912748,mont,random,25,0.46458333333333335,3.5,1,30,2,300,27,32,26,7.924413289,mont71_2022-07-11_t1_k,mont71_2022-07-11_t1_b,NA,NA,mont71_2022-07-11_t1,60,0,0,NA,0,60,60,40,1,0,0,0,1,0,0,0,0,NA
mont69_2022-07-11_t1,Maya Green,DIMES,0,0,29,Donald,Taradash,7/11/22,mont69,36.625216,-121.910328,mont,random,25,0.4625,3.4,1,30,2,300,45,46,42.1,12.83145383,mont69_2022-07-11_t1_k,mont69_2022-07-11_t1_b,NA,NA,mont69_2022-07-11_t1,60,0,0,NA,0,60,60,27,3,1,0,0,0,0,0,0,0,NA
mont69_2022-07-11_t1,Gwendolyn Donahue,DIMES,0,0,29,Donald,Taradash,7/11/22,mont69,36.625216,-121.910328,mont,random,25,0.4625,3.4,1,30,2,300,45,46,42.1,12.83145383,mont69_2022-07-11_t1_k,mont69_2022-07-11_t1_b,NA,NA,mont69_2022-07-11_t1,60,0,0,NA,0,60,60,27,3,1,0,0,0,0,0,0,0,NA
