"","taxon","b","k","total"
"1","red_aca_fg",6,5,11
"2","Corynactis_californica",5,3,8
"3","Patiria_miniata",5,3,8
"4","Strongylocentrotus_purpuratus",6,2,8
"5","Macrocystis_pyrifera",3,5,8
"6","Stephanocystis_osmundacea",4,3,7
"7","Aplidium_spp",4,3,7
"8","Didemnum_orange_crust",3,4,7
"9","Balanus_nubilus",3,3,6
"10","Dictyoneurum_spp",3,3,6
"11","red_bush_fg",4,2,6
"12","Sebastes_mystinus",2,4,6
"13","Celleporella_spp",4,1,5
"14","Balanophyllia_elegans",5,0,5
"15","Cucumaria_miniata",4,1,5
"16","Dermasterias_imbricata",3,2,5
"17","Mesocentrotus_franciscanus",3,2,5
"18","Dorid_yellow_fg",5,0,5
"19","red_branch_fg",5,0,5
"20","Sebastes_atrovirens",3,2,5
"21","Eudistylia_spp",3,1,4
"22","Urticina_piscivora",2,2,4
"23","Tethya_californiana",3,1,4
"24","Clavelina_huntsmani",3,1,4
"25","Oxylebius_pictus",4,0,4
"26","Sebastes_mystinus_juv",2,2,4
"27","Celleporina_robertsoniae",3,0,3
"28","Pisaster_giganteus",2,1,3
"29","Kelletia_kelletii",2,1,3
"30","red_lacy_fg",3,0,3
"31","Didemnum_carnulentum",3,0,3
"32","Phoca_vitulina",0,3,3
"33","Sebastes_flavidus_juv",1,2,3
"34","Reginella_hippocrepis",2,0,2
"35","Watersipora_subtorquata",2,0,2
"36","Pachycerianthus_fimbriatus",2,0,2
"37","Ceratostoma_foliatum",2,0,2
"38","red_cca_fg",2,0,2
"39","red_crust_fg",2,0,2
"40","Cnemidocarpa_finmarkiensis",2,0,2
"41","Arenicolid_egg",1,0,1
"42","Diopatra_ornata",1,0,1
"43","Diaperoforma_californica",1,0,1
"44","Anthopleura_artemisia",1,0,1
"45","Urticina_columbiana",1,0,1
"46","Apostichopus_parvimensis",1,0,1
"47","Ophiuroidea_clade",1,0,1
"48","Aplysia_californica",1,0,1
"49","Crassodoma_gigantea",1,0,1
"50","Cryptochiton_stelleri",1,0,1
"51","Desmarestia_spp",1,0,1
"52","red_leaf_fg",1,0,1
"53","Pycnoclavella_stanleyi",1,0,1
"54","Pyura_haustor",1,0,1
"55","Trididemnum_spp",1,0,1
"56","Brachyistius_frenatus",1,0,1
"57","Chromis punctipinnis",0,1,1
"58","Embiotoca_lateralis",0,1,1
"59","Rhacochilus_vacca",0,1,1
"60","Sebastes_carnatus",1,0,1
"61","Sebastes_chrysomelas",1,0,1
"62","Semicossyphus_pulcher",0,1,1
"63","Phragmatopoma_californica",0,0,0
"64","Loxorhynchus_spp",0,0,0
"65","Hippoporina_insculpta",0,0,0
"66","Lagenicella_punctulata",0,0,0
"67","Phidolopora_pacifica",0,0,0
"68","Metridium_farcimen",0,0,0
"69","Paracyathus_stearnsi",0,0,0
"70","Stylaster_californicus",0,0,0
"71","Urticina_albopunctata",0,0,0
"72","Urticina_coriacea",0,0,0
"73","Urticina_grebelneyi",0,0,0
"74","Urticina_spp",0,0,0
"75","Virgulariidae_spp",0,0,0
"76","Apostichopus_californicus",0,0,0
"77","Dendraster_excentricus",0,0,0
"78","Henricia_spp",0,0,0
"79","Pycnopodia_helianthoides",0,0,0
"80","Chaceia_ovoidea",0,0,0
"81","Dendronotus_iris",0,0,0
"82","Megathura_crenulata",0,0,0
"83","Parapholas_californica",0,0,0
"84","Alaria_marginata",0,0,0
"85","Eisenia_arborea",0,0,0
"86","Laminaria_setchellii",0,0,0
"87","Nereocystis_luetkeana",0,0,0
"88","Polymastia_pachymastia",0,0,0
"89","red_turf_fg",0,0,0
"90","Boltenia_villosa",0,0,0
"91","Polyclinum_planum",0,0,0
"92","Styela_montereyensis",0,0,0
"93","Embiotoca_jacksoni",0,0,0
"94","Girella_nigricans",0,0,0
"95","Hexagrammos_decagrammus",0,0,0
"96","Hypsurus_caryi",0,0,0
"97","Medialuna_californiensis",0,0,0
"98","Ophiodon_elongatus",0,0,0
"99","Oxyjulis_californica",0,0,0
"100","Paralabrax_clathratus",0,0,0
"101","Phanerodon_furcatus",0,0,0
"102","Rhacochilus_toxotes",0,0,0
"103","Rhinogobiops_nicholsii",0,0,0
"104","Scorpaenichthys_marmoratus",0,0,0
"105","Sebastes_caurinus",0,0,0
"106","Sebastes_flavidus",0,0,0
"107","Sebastes_melanops",0,0,0
"108","Sebastes_serriceps",0,0,0
